Rider_ID,Subcounty,Latitude,Longitude,Daily_Distance_km,Daily_Income_KES,Income_Volatility,Distance_to_BSS_km,Petrol_Daily_Cost_KES,Electric_Daily_Cost_KES,PAYG_Daily_Payment_KES,Net_Savings_KES,Default_Probability,Default_Indicator
RID-0016,Lang'ata,-1.3537374328832272,36.76120537883452,67.3,935.0,0.215,5.59,434.0,259.0,450.0,176.0,0.0905,1
RID-0017,Kasarani,-1.1910604423129254,36.90393109553023,88.6,967.0,0.177,4.03,556.0,338.0,450.0,218.0,0.0379,0
RID-0018,Starehe,-1.2543631092106273,36.79528879253926,53.2,1042.0,0.109,0.85,354.0,207.0,450.0,147.0,0.0089,0
RID-0019,Mathare,-1.2546589946826148,36.88279261591247,74.6,801.0,0.181,2.64,476.0,286.0,450.0,190.0,0.043,0
RID-0020,Kibra,-1.3133543202144915,36.806309607501305,84.5,797.0,0.236,2.18,533.0,323.0,450.0,210.0,0.0452,0
RID-0021,Starehe,-1.2853457690020074,36.85318694880372,82.8,722.0,0.238,2.98,523.0,316.0,450.0,207.0,0.0748,0
RID-0022,Dagoretti,-1.2470220375276149,36.736743228791205,120.4,680.0,0.189,1.9,738.0,455.0,450.0,283.0,0.0405,0
RID-0023,Kibra,-1.3239100504280155,36.81406768954235,85.2,757.0,0.212,3.14,537.0,325.0,450.0,212.0,0.063,0
RID-0024,Kasarani,-1.1884085570853857,36.88954279945693,64.9,1032.0,0.341,3.77,421.0,250.0,450.0,171.0,0.0645,0
RID-0025,Mathare,-1.2684037363419172,36.859364307822794,78.6,821.0,0.194,4.03,499.0,301.0,450.0,198.0,0.0666,0
RID-0026,Kamukunji,-1.3118890102206855,36.82662696107032,53.4,1103.0,0.165,1.21,355.0,207.0,450.0,147.0,0.0106,0
RID-0027,Lang'ata,-1.3700828153350415,36.75464404869792,78.8,1007.0,0.161,6.32,500.0,302.0,450.0,199.0,0.0703,0
RID-0028,Starehe,-1.2756936977477356,36.82968429465073,67.5,606.0,0.214,3.14,436.0,260.0,450.0,176.0,0.1075,1
RID-0029,Starehe,-1.2439899901437184,36.80503291918523,93.7,1131.0,0.29,1.24,586.0,357.0,450.0,229.0,0.014,0
RID-0030,Westlands,-1.2453135520304681,36.79572022311549,71.8,1162.0,0.151,1.57,460.0,276.0,450.0,185.0,0.0086,0
RID-0031,Starehe,-1.2759892741930485,36.838496389843336,78.2,801.0,0.277,3.25,497.0,300.0,450.0,198.0,0.0778,0
RID-0032,Lang'ata,-1.372454440431246,36.777648194923685,70.5,1084.0,0.105,7.97,453.0,271.0,450.0,182.0,0.0787,0
RID-0033,Westlands,-1.2616709558357388,36.80984902528016,106.1,829.0,0.205,0.7,656.0,403.0,450.0,254.0,0.0195,0
RID-0034,Embakasi,-1.3042166271218436,36.94910600279822,75.2,1020.0,0.294,6.84,480.0,288.0,450.0,191.0,0.1388,0
RID-0035,Embakasi,-1.3227547996850264,36.88938006089996,107.5,747.0,0.185,1.9,664.0,408.0,450.0,257.0,0.0344,0
RID-0036,Kamukunji,-1.297462810528495,36.833890457616796,92.2,641.0,0.241,0.85,577.0,351.0,450.0,226.0,0.0458,0
RID-0037,Kasarani,-1.2327477425461304,36.92378033062215,87.2,923.0,0.151,4.47,548.0,333.0,450.0,216.0,0.0453,0
RID-0038,Dagoretti,-1.264589915040203,36.73258507412501,85.5,975.0,0.285,1.41,539.0,326.0,450.0,212.0,0.0248,0
RID-0039,Makadara,-1.3166471114620846,36.86942831112773,85.9,920.0,0.113,0.62,541.0,328.0,450.0,213.0,0.0104,0
RID-0040,Mathare,-1.2710444608856195,36.877658636355115,51.1,763.0,0.313,1.98,342.0,199.0,450.0,143.0,0.076,1
RID-0041,Dagoretti,-1.288941539582974,36.71368511770005,75.8,920.0,0.15,2.81,483.0,291.0,450.0,193.0,0.0274,0
RID-0042,Mathare,-1.2290498959733989,36.90091755346191,92.7,1054.0,0.319,1.94,580.0,353.0,450.0,227.0,0.0259,0
RID-0043,Westlands,-1.2772557738096877,36.792245968801275,79.3,991.0,0.188,1.61,503.0,303.0,450.0,200.0,0.017,1
RID-0044,Embakasi,-1.304282692185502,36.90668913579974,58.9,1037.0,0.281,3.51,387.0,228.0,450.0,159.0,0.0464,0
RID-0045,Kibra,-1.3018291145465433,36.82520409077532,79.2,866.0,0.18,1.14,503.0,303.0,450.0,200.0,0.0206,0
RID-0046,Makadara,-1.303538944549881,36.84403405510923,105.6,1234.0,0.326,0.95,653.0,401.0,450.0,253.0,0.0101,0
RID-0047,Kasarani,-1.2475863845602906,36.88538139920116,98.7,765.0,0.132,2.85,614.0,375.0,450.0,239.0,0.0371,0
RID-0048,Starehe,-1.2756625394574759,36.86089115727036,79.1,1098.0,0.145,3.79,502.0,303.0,450.0,199.0,0.0212,0
RID-0049,Starehe,-1.2853522259807233,36.82947575903278,94.3,1236.0,0.223,2.27,589.0,359.0,450.0,230.0,0.0106,0
RID-0050,Lang'ata,-1.3503284579214552,36.793767865468965,74.5,1096.0,0.12,6.0,476.0,286.0,450.0,190.0,0.0414,0
RID-0051,Embakasi,-1.2594613514825277,36.88938262454159,54.4,959.0,0.149,1.84,361.0,211.0,450.0,150.0,0.0192,0
RID-0052,Kamukunji,-1.2947887888503644,36.86588321754138,66.1,894.0,0.336,2.81,428.0,255.0,450.0,173.0,0.069,0
RID-0053,Embakasi,-1.296362170207474,36.936934146514716,103.4,1207.0,0.344,5.23,641.0,393.0,450.0,248.0,0.0519,0
RID-0054,Embakasi,-1.2983214362934807,36.89281415818426,75.9,715.0,0.194,2.6,484.0,291.0,450.0,193.0,0.0581,0
RID-0055,Starehe,-1.2631869033861538,36.84717407161166,76.3,806.0,0.331,3.94,486.0,292.0,450.0,194.0,0.1195,0
RID-0056,Embakasi,-1.2935903563760527,36.91014548062214,75.5,920.0,0.236,2.67,481.0,289.0,450.0,192.0,0.0381,0
RID-0057,Dagoretti,-1.2716665062082169,36.767385911808915,108.6,1248.0,0.167,2.71,670.0,412.0,450.0,259.0,0.0087,0
RID-0058,Lang'ata,-1.3223568201792495,36.7829741977518,104.4,1076.0,0.276,2.67,647.0,396.0,450.0,250.0,0.0243,0
RID-0059,Westlands,-1.268342361606337,36.80293427372867,113.3,806.0,0.265,0.49,697.0,429.0,450.0,268.0,0.0244,0
RID-0060,Kasarani,-1.1958698206698328,36.883661286580256,77.6,938.0,0.347,2.91,494.0,297.0,450.0,196.0,0.0623,0
RID-0061,Kasarani,-1.212626533822542,36.892133223753454,84.4,877.0,0.166,1.31,532.0,322.0,450.0,210.0,0.0194,0
RID-0062,Kibra,-1.3144251035413037,36.810569037252144,57.3,858.0,0.268,2.43,377.0,222.0,450.0,155.0,0.0533,0
RID-0063,Njiru,-1.2461780186396019,36.94092873096312,102.2,1196.0,0.113,6.03,634.0,388.0,450.0,246.0,0.026,0
RID-0064,Kasarani,-1.2471971228195984,36.914925071320546,62.5,726.0,0.128,3.8,407.0,241.0,450.0,166.0,0.0674,0
RID-0065,Kibra,-1.3020903163771784,36.828265094466104,83.3,1322.0,0.101,0.82,526.0,318.0,450.0,208.0,0.003,0
RID-0066,Starehe,-1.28115556469906,36.82938300655328,63.5,1166.0,0.35,2.72,413.0,245.0,450.0,168.0,0.0316,0
RID-0067,Dagoretti,-1.2880123263257848,36.77554906559527,71.2,1218.0,0.301,1.5,457.0,273.0,450.0,183.0,0.0137,0
RID-0068,Kamukunji,-1.286905910647739,36.85058043051541,67.4,907.0,0.297,2.65,435.0,260.0,450.0,176.0,0.0532,0
RID-0069,Dagoretti,-1.280842069805669,36.747732182463125,70.9,970.0,0.227,2.12,455.0,272.0,450.0,183.0,0.0267,0
RID-0070,Embakasi,-1.3189286722910105,36.90388179985796,71.9,713.0,0.175,2.81,461.0,276.0,450.0,185.0,0.0587,0
RID-0071,Kamukunji,-1.2635273650028045,36.824469694011775,71.8,895.0,0.138,2.28,460.0,276.0,450.0,185.0,0.0239,0
RID-0072,Lang'ata,-1.3473406065170626,36.75599758370122,92.5,1099.0,0.171,4.71,579.0,352.0,450.0,226.0,0.0304,0
RID-0073,Westlands,-1.241099067421503,36.76953626190432,63.4,1259.0,0.194,3.58,412.0,245.0,450.0,168.0,0.016,0
RID-0074,Kamukunji,-1.2961784369454317,36.85254423750129,83.3,779.0,0.289,1.95,526.0,318.0,450.0,208.0,0.0558,0
RID-0075,Makadara,-1.2686895194153132,36.85868499477854,98.3,927.0,0.235,4.1,612.0,374.0,450.0,238.0,0.0537,0
RID-0076,Kamukunji,-1.2961039905338638,36.88262314138881,72.3,970.0,0.119,2.72,463.0,278.0,450.0,186.0,0.0203,0
RID-0077,Kamukunji,-1.3139602780083248,36.8010238808676,69.2,721.0,0.105,2.21,446.0,266.0,450.0,179.0,0.0352,0
RID-0078,Dagoretti,-1.2841997109989334,36.73395891551295,76.5,1118.0,0.126,2.04,487.0,293.0,450.0,194.0,0.0101,0
RID-0079,Kasarani,-1.2404246563426142,36.914167128945984,97.7,855.0,0.203,3.84,608.0,371.0,450.0,237.0,0.0534,0
RID-0080,Dagoretti,-1.2881239857245759,36.732718427385265,82.9,961.0,0.333,1.62,524.0,317.0,450.0,207.0,0.0347,0
RID-0081,Njiru,-1.275606087973418,36.9574491465656,72.0,910.0,0.259,6.94,462.0,277.0,450.0,185.0,0.1713,0
RID-0082,Starehe,-1.2619959764408266,36.82301648272441,87.3,842.0,0.3,2.13,549.0,333.0,450.0,216.0,0.0503,0
RID-0083,Kasarani,-1.1830672600790466,36.878598304673474,63.5,999.0,0.217,4.39,413.0,245.0,450.0,168.0,0.0519,0
RID-0084,Westlands,-1.2955105034184946,36.786161838602375,90.2,957.0,0.19,1.69,566.0,344.0,450.0,222.0,0.0186,0
RID-0085,Kasarani,-1.22091172032711,36.90486678898645,86.1,926.0,0.127,2.21,542.0,329.0,450.0,213.0,0.0189,0
RID-0086,Kasarani,-1.2248247211571266,36.90704110793028,75.4,854.0,0.319,2.47,481.0,289.0,450.0,192.0,0.0622,0
RID-0087,Kamukunji,-1.3100307884838087,36.873875292081465,67.4,1064.0,0.296,1.48,435.0,259.0,450.0,176.0,0.022,0
RID-0088,Makadara,-1.3016430235678513,36.88234591663176,66.7,1331.0,0.142,2.81,431.0,257.0,450.0,174.0,0.0076,0
RID-0089,Embakasi,-1.303145493072446,36.90913506438307,88.0,1028.0,0.228,3.5,553.0,336.0,450.0,217.0,0.0329,0
RID-0090,Mathare,-1.248604654395356,36.873954171200346,98.4,1199.0,0.222,3.2,612.0,374.0,450.0,238.0,0.0161,0
RID-0091,Dagoretti,-1.280145544802649,36.770583050602646,70.4,722.0,0.256,2.32,453.0,271.0,450.0,182.0,0.0693,0
RID-0092,Makadara,-1.2960695766059707,36.87418007515177,86.9,1032.0,0.337,2.85,546.0,331.0,450.0,215.0,0.042,0
RID-0093,Kamukunji,-1.2867947138857445,36.87380234430899,48.7,781.0,0.245,2.7,328.0,190.0,450.0,138.0,0.0693,0
RID-0094,Starehe,-1.2885278460411853,36.86101880865822,71.2,705.0,0.235,3.16,457.0,274.0,450.0,183.0,0.0871,0
RID-0095,Kamukunji,-1.2858031590128869,36.816384497957635,79.5,852.0,0.113,1.8,504.0,304.0,450.0,200.0,0.02,0
RID-0096,Mathare,-1.2574379117017842,36.851378966850504,66.4,1238.0,0.116,3.96,429.0,256.0,450.0,174.0,0.0135,0
RID-0097,Starehe,-1.2581871290202253,36.81194752041395,66.0,1190.0,0.147,1.09,427.0,254.0,450.0,173.0,0.0067,0
RID-0098,Mathare,-1.2689236686642955,36.82720918538109,70.0,1049.0,0.108,2.64,450.0,269.0,450.0,181.0,0.0148,0
RID-0099,Westlands,-1.2740461263849814,36.75152241346742,84.4,693.0,0.286,1.52,532.0,322.0,450.0,210.0,0.0615,0
RID-0100,Dagoretti,-1.3246780564697145,36.75920829312289,77.2,961.0,0.281,2.76,491.0,296.0,450.0,195.0,0.0418,0
RID-0101,Westlands,-1.2492839968269833,36.8085091512357,46.4,1060.0,0.134,1.21,315.0,182.0,450.0,134.0,0.011,0
RID-0102,Makadara,-1.3193395228625844,36.85904577287716,48.2,1035.0,0.309,0.67,325.0,188.0,450.0,137.0,0.0212,0
RID-0103,Kasarani,-1.2200720507818112,36.87683270621615,70.9,631.0,0.139,0.93,455.0,272.0,450.0,183.0,0.0347,0
RID-0104,Starehe,-1.2449320339646568,36.84254724581152,86.9,822.0,0.175,2.55,546.0,331.0,450.0,215.0,0.0361,0
RID-0105,Embakasi,-1.3144192834765933,36.90053771677989,38.8,987.0,0.162,3.08,272.0,154.0,450.0,118.0,0.0308,0
RID-0106,Kibra,-1.310832343841049,36.74416530263151,72.5,1107.0,0.193,1.38,464.0,278.0,450.0,186.0,0.0115,0
RID-0107,Mathare,-1.2649435476504118,36.85136031504005,72.1,561.0,0.164,4.42,462.0,277.0,450.0,185.0,0.1451,0
RID-0108,Kamukunji,-1.3050324001978981,36.83937799414228,100.8,968.0,0.222,0.49,626.0,383.0,450.0,243.0,0.013,0
RID-0109,Kibra,-1.2790462694630096,36.797816857225335,74.2,1029.0,0.202,1.58,474.0,285.0,450.0,190.0,0.0162,0
RID-0110,Dagoretti,-1.3044235797956558,36.75545165562712,85.7,1170.0,0.347,0.88,540.0,327.0,450.0,213.0,0.0147,0
RID-0111,Kibra,-1.28701289126828,36.803492673658255,82.1,1139.0,0.114,0.8,519.0,314.0,450.0,205.0,0.0057,0
RID-0112,Lang'ata,-1.3488073926015967,36.757061264445895,48.0,1117.0,0.136,4.9,325.0,188.0,450.0,137.0,0.0326,0
RID-0113,Embakasi,-1.2960355337277283,36.907869707708436,91.5,840.0,0.113,2.74,573.0,349.0,450.0,224.0,0.0271,0
RID-0114,Kamukunji,-1.2670961355994452,36.85770343603364,83.2,618.0,0.256,4.24,526.0,318.0,450.0,208.0,0.1597,0
RID-0115,Makadara,-1.2790089456936133,36.84929529576879,87.6,921.0,0.114,3.3,551.0,334.0,450.0,216.0,0.026,0
RID-0116,Njiru,-1.2236521186873135,36.943951992093844,138.9,1200.0,0.309,6.56,844.0,524.0,450.0,320.0,0.0598,0
RID-0117,Kamukunji,-1.2434947825474947,36.83121624363821,48.7,1279.0,0.228,1.29,329.0,190.0,450.0,138.0,0.0085,0
RID-0118,Lang'ata,-1.315280723936695,36.77395821566925,105.9,1142.0,0.232,1.6,655.0,402.0,450.0,253.0,0.0112,0
RID-0119,Embakasi,-1.323028360072289,36.89032228331891,75.7,1086.0,0.24,1.89,483.0,290.0,450.0,192.0,0.0177,0
RID-0120,Starehe,-1.2814069461638864,36.83348331892804,84.3,1076.0,0.143,2.63,532.0,322.0,450.0,210.0,0.0147,0
RID-0121,Kamukunji,-1.27454329023929,36.83352599992123,79.3,889.0,0.149,3.39,503.0,303.0,450.0,200.0,0.0361,0
RID-0122,Embakasi,-1.3104870918452196,36.942845407172236,73.6,974.0,0.18,6.62,471.0,282.0,450.0,188.0,0.0944,0
RID-0123,Kasarani,-1.1854491365979858,36.90872647339348,71.5,1334.0,0.248,4.85,458.0,274.0,450.0,184.0,0.0238,0
RID-0124,Dagoretti,-1.2922399304366359,36.74640062653437,84.9,811.0,0.153,1.71,535.0,324.0,450.0,211.0,0.0255,0
RID-0125,Kibra,-1.3027296405453916,36.764544148696025,57.2,1323.0,0.129,0.41,377.0,222.0,450.0,155.0,0.0033,0
RID-0126,Mathare,-1.265147530748467,36.83162831852245,91.3,936.0,0.343,3.03,571.0,348.0,450.0,224.0,0.06,0
RID-0127,Kamukunji,-1.2770155375478944,36.85794391879406,73.8,1265.0,0.105,4.02,471.0,283.0,450.0,189.0,0.0117,0
RID-0128,Njiru,-1.2596637292459876,36.971479735265795,63.0,719.0,0.301,8.67,410.0,243.0,450.0,167.0,0.4678,0
RID-0129,Westlands,-1.2895153132600468,36.7707125023958,73.2,1117.0,0.297,1.29,469.0,281.0,450.0,188.0,0.017,0
RID-0130,Starehe,-1.2705109636288006,36.845941966052244,98.9,853.0,0.174,4.02,615.0,376.0,450.0,239.0,0.0505,0
RID-0131,Mathare,-1.2263214461708427,36.855822314742625,72.0,717.0,0.134,2.66,461.0,276.0,450.0,185.0,0.0464,0
RID-0132,Kibra,-1.293426383331374,36.78422983060998,85.4,1044.0,0.136,1.6,538.0,326.0,450.0,212.0,0.011,0
RID-0133,Dagoretti,-1.2964525459988163,36.76167319874973,69.0,1202.0,0.274,0.4,444.0,265.0,450.0,179.0,0.0088,0
RID-0134,Kasarani,-1.2069535424317315,36.868472156860314,91.4,831.0,0.261,2.49,572.0,348.0,450.0,224.0,0.0485,0
RID-0135,Embakasi,-1.2804691930054821,36.927601827082945,90.3,700.0,0.296,3.67,566.0,344.0,450.0,222.0,0.1215,0
RID-0136,Kasarani,-1.2325112540301906,36.90791607066875,107.7,982.0,0.334,2.8,666.0,409.0,450.0,257.0,0.0432,0
RID-0137,Starehe,-1.2651193962743452,36.830213475316484,77.4,983.0,0.273,2.92,492.0,296.0,450.0,196.0,0.0398,0
RID-0138,Makadara,-1.3110061030769085,36.84656753264124,90.0,1110.0,0.139,0.21,564.0,343.0,450.0,221.0,0.0054,0
RID-0139,Kasarani,-1.2205110814198288,36.92345458038518,81.5,1190.0,0.161,4.28,516.0,311.0,450.0,204.0,0.0199,0
RID-0140,Embakasi,-1.2991279969081113,36.892587713358274,99.4,988.0,0.311,2.7,618.0,378.0,450.0,240.0,0.0384,0
RID-0141,Embakasi,-1.294566025787033,36.843029147587394,69.2,1371.0,0.152,1.46,446.0,266.0,450.0,179.0,0.0043,0
RID-0142,Kibra,-1.292024685992558,36.75020572442443,91.2,1045.0,0.118,1.58,571.0,347.0,450.0,224.0,0.0098,0
RID-0143,Mathare,-1.2672488188280626,36.84260660210748,77.1,931.0,0.276,3.89,490.0,295.0,450.0,195.0,0.0652,0
RID-0144,Kasarani,-1.245893629514418,36.92321653574757,79.0,678.0,0.201,4.51,502.0,302.0,450.0,199.0,0.1207,0
RID-0145,Kibra,-1.3243540240262377,36.79193007763461,81.4,947.0,0.33,3.41,515.0,311.0,450.0,204.0,0.0653,0
RID-0146,Westlands,-1.2659384115775836,36.80954081654446,83.8,933.0,0.263,0.65,529.0,320.0,450.0,209.0,0.0199,0
RID-0147,Starehe,-1.2734635621787949,36.799340155516234,78.3,1192.0,0.123,0.94,497.0,300.0,450.0,198.0,0.0053,0
RID-0148,Mathare,-1.2400746636110571,36.85512486833677,83.2,1092.0,0.337,3.88,526.0,318.0,450.0,208.0,0.0502,0
RID-0149,Westlands,-1.2961316379731949,36.791437696780676,103.7,764.0,0.165,1.25,642.0,394.0,450.0,249.0,0.0244,0
RID-0150,Kibra,-1.2849848041873138,36.80200443484227,94.8,1034.0,0.184,1.02,592.0,361.0,450.0,231.0,0.011,0
RID-0151,Embakasi,-1.3169730426881572,36.89301484591363,93.0,1134.0,0.201,2.58,582.0,354.0,450.0,227.0,0.0149,0
RID-0152,Kibra,-1.3214327010243476,36.826534959671214,73.2,1306.0,0.113,2.06,468.0,281.0,450.0,187.0,0.0054,0
RID-0153,Dagoretti,-1.2853612909553689,36.75260083294382,66.7,1178.0,0.224,1.93,431.0,257.0,450.0,174.0,0.0131,0
RID-0154,Mathare,-1.2393943309193631,36.86977578318053,94.3,1152.0,0.131,2.57,589.0,359.0,450.0,230.0,0.0102,0
RID-0155,Embakasi,-1.315180842916414,36.8960730030183,93.1,1012.0,0.2,2.84,582.0,355.0,450.0,228.0,0.0238,0
RID-0156,Kibra,-1.3164320251882813,36.7842555552698,102.1,1078.0,0.188,2.19,633.0,388.0,450.0,246.0,0.014,0
RID-0157,Makadara,-1.2854474091272605,36.861038917716144,70.9,1250.0,0.293,3.45,455.0,272.0,450.0,183.0,0.0234,0
RID-0158,Kamukunji,-1.2703471984556884,36.84338566839783,76.6,733.0,0.301,3.96,487.0,293.0,450.0,194.0,0.1311,0
RID-0159,Kibra,-1.3134272961936782,36.745035986309354,55.4,930.0,0.138,1.65,367.0,215.0,450.0,152.0,0.0188,0
RID-0160,Kamukunji,-1.2666734465059504,36.85192976951796,74.1,845.0,0.192,4.59,474.0,284.0,450.0,189.0,0.0752,0
RID-0161,Kasarani,-1.200039797802807,36.84207489243612,94.9,1076.0,0.193,0.64,593.0,361.0,450.0,231.0,0.0088,0
RID-0162,Makadara,-1.2582325059043855,36.8572082074369,73.0,1246.0,0.138,4.58,467.0,280.0,450.0,187.0,0.0174,0
RID-0163,Makadara,-1.2778363436652498,36.83920188145749,89.6,881.0,0.3,3.06,562.0,342.0,450.0,220.0,0.06,0
RID-0164,Starehe,-1.2627445218987485,36.80393168873653,77.1,522.0,0.277,0.14,491.0,295.0,450.0,195.0,0.0651,0
RID-0165,Dagoretti,-1.305475379213916,36.782280627077334,84.9,918.0,0.148,1.25,535.0,324.0,450.0,211.0,0.0153,0
RID-0166,Njiru,-1.2538136480152668,36.94434865746359,62.8,1183.0,0.192,5.97,409.0,242.0,450.0,166.0,0.0453,0
RID-0167,Kasarani,-1.202598645386225,36.90991363775945,81.3,1108.0,0.126,3.51,514.0,311.0,450.0,204.0,0.017,0
RID-0168,Lang'ata,-1.3469916218971285,36.77729922004933,35.1,1086.0,0.257,5.15,251.0,140.0,450.0,111.0,0.0696,0
RID-0169,Westlands,-1.2169316882952343,36.79884762405933,77.2,944.0,0.13,1.85,491.0,296.0,450.0,195.0,0.0167,0
RID-0170,Starehe,-1.2709780190657005,36.846013087920156,55.5,744.0,0.346,3.98,367.0,216.0,450.0,152.0,0.1666,1
RID-0171,Makadara,-1.2778894813408403,36.88374060611121,98.1,1103.0,0.295,1.29,611.0,373.0,450.0,238.0,0.0156,0
RID-0172,Westlands,-1.2522253955594163,36.777139901745386,91.7,833.0,0.198,2.84,574.0,349.0,450.0,225.0,0.0413,0
RID-0173,Starehe,-1.242331369353978,36.80207309213963,87.0,1437.0,0.245,1.04,547.0,332.0,450.0,215.0,0.0042,0
RID-0174,Kibra,-1.3089472906952193,36.76991448299961,102.8,1114.0,0.328,0.91,638.0,390.0,450.0,247.0,0.015,0
RID-0175,Makadara,-1.3012827669318598,36.86657524820607,65.8,884.0,0.239,2.09,426.0,253.0,450.0,172.0,0.0371,0
RID-0176,Lang'ata,-1.3435728556909947,36.77843841508471,106.2,878.0,0.144,4.79,657.0,403.0,450.0,254.0,0.0511,0
RID-0177,Makadara,-1.267725774618827,36.86907068603028,94.0,981.0,0.195,2.99,587.0,358.0,450.0,229.0,0.0269,0
RID-0178,Kasarani,-1.224883132705813,36.919281743365765,76.5,952.0,0.311,3.82,487.0,293.0,450.0,194.0,0.0695,0
RID-0179,Embakasi,-1.2862105902215073,36.87544784369726,97.0,1223.0,0.261,2.51,604.0,369.0,450.0,235.0,0.014,0
RID-0180,Dagoretti,-1.2810519986030027,36.75802345484622,63.4,1037.0,0.263,2.15,412.0,245.0,450.0,168.0,0.0265,0
RID-0181,Kasarani,-1.2259512700671997,36.92751413626623,67.6,854.0,0.317,4.75,436.0,260.0,450.0,176.0,0.1317,0
RID-0182,Dagoretti,-1.2960011117406505,36.74651152906943,70.9,1378.0,0.323,1.47,455.0,272.0,450.0,183.0,0.009,0
RID-0183,Embakasi,-1.3134614364856774,36.90031158095163,72.1,1010.0,0.33,3.17,462.0,277.0,450.0,185.0,0.0521,0
RID-0184,Njiru,-1.271925501737904,36.91119898234811,64.2,1154.0,0.124,1.83,417.0,247.0,450.0,169.0,0.0089,0
RID-0185,Kibra,-1.2831098987355005,36.76806077303363,98.3,878.0,0.236,2.0,612.0,374.0,450.0,238.0,0.0309,0
RID-0186,Makadara,-1.3198278469891263,36.81693219772792,76.1,1073.0,0.285,2.6,485.0,292.0,450.0,193.0,0.0287,0
RID-0187,Kamukunji,-1.29777923495379,36.81853820413185,85.3,1062.0,0.289,1.83,537.0,326.0,450.0,212.0,0.0222,0
RID-0188,Starehe,-1.2421596967972726,36.84519634178685,71.4,622.0,0.252,2.81,458.0,274.0,450.0,184.0,0.1057,1
RID-0189,Starehe,-1.2887630069035545,36.870048716106886,52.7,1403.0,0.142,3.17,351.0,205.0,450.0,146.0,0.0073,0
RID-0190,Kibra,-1.295364690260168,36.77850337232982,84.1,1258.0,0.299,0.96,530.0,321.0,450.0,209.0,0.0093,0
RID-0191,Dagoretti,-1.3429881142974713,36.78981885145181,51.3,921.0,0.28,5.07,343.0,200.0,450.0,143.0,0.1121,0
RID-0192,Embakasi,-1.337791449335272,36.86709202506086,79.0,780.0,0.122,1.09,501.0,302.0,450.0,199.0,0.0206,0
RID-0193,Embakasi,-1.2895485913598073,36.94879504812678,59.5,1070.0,0.216,6.2,390.0,230.0,450.0,160.0,0.0771,0
RID-0194,Makadara,-1.2723145436297896,36.87127818240105,109.8,1017.0,0.143,2.65,677.0,416.0,450.0,261.0,0.0158,0
RID-0195,Kasarani,-1.2081049131666943,36.917068311175605,93.7,1071.0,0.184,3.89,585.0,357.0,450.0,229.0,0.0263,0
RID-0196,Kasarani,-1.2048214282042646,36.905623828479385,81.6,1038.0,0.105,2.98,516.0,312.0,450.0,204.0,0.016,0
RID-0197,Makadara,-1.2979159779209626,36.85874813744201,99.0,1101.0,0.2,2.19,615.0,376.0,450.0,239.0,0.014,0
RID-0198,Embakasi,-1.3250792917773335,36.894386498462666,67.3,1289.0,0.237,1.73,435.0,259.0,450.0,176.0,0.0091,0
RID-0199,Embakasi,-1.3438591362839079,36.8980332074641,88.2,1114.0,0.255,0.99,554.0,336.0,450.0,218.0,0.012,0
